Test Name,FF1 Encryption Time (ns),AES-CBC Encryption Time (ns),FF1 Decryption Time (ns),AES-CBC Decryption Time (ns)
Test 125,0.0000,0.0000,0.0000,0.0000
Test 126,0.5085,0.0000,0.0000,0.0000
Test 127,0.0000,0.0000,0.0000,0.0000
Test 128,0.0000,0.0000,0.0000,0.0000
Test 129,0.0000,0.0000,0.0000,0.0000
Test 130,0.0000,0.0000,0.0000,0.0000
Test 131,0.0000,0.0000,0.0000,0.0000
Test 132,0.0000,0.0000,0.0000,0.0000
Test 133,0.0000,0.0000,0.0000,0.0000
Test 134,0.0000,0.0000,0.0000,0.0000
Test 135,0.0000,0.0000,0.0000,0.0000
Test 136,0.0000,0.0000,0.0000,0.0000
Test 137,0.0000,0.0000,0.0000,0.0000
Test 138,0.0000,0.0000,0.0000,0.0000
Test 139,0.5118,0.0000,0.0000,0.0000
Test 140,0.0000,0.0000,0.0000,0.0000
Test 141,0.0000,0.0000,0.0000,0.0000
Test 142,0.0000,0.0000,0.0000,0.0000
Test 143,0.0000,0.0000,0.0000,0.0000
Test 144,0.0000,0.0000,0.0000,0.0000
Test 145,0.0000,0.0000,0.0000,0.0000
Test 146,0.0000,0.0000,0.0000,0.0000
Test 147,0.0000,0.0000,0.0000,0.0000
Test 148,0.0000,0.0000,0.0000,0.0000
Test 149,0.0000,0.0000,0.0000,0.0000
Test 150,0.0000,0.0000,0.0000,0.0000
Test 151,0.0000,0.0000,0.0000,0.0000
Test 152,0.5060,0.0000,0.0000,0.0000
Test 153,0.0000,0.0000,0.0000,0.0000
Test 154,0.0000,0.0000,0.0000,0.0000
Test 155,0.0000,0.0000,0.0000,0.0000
Test 156,0.0000,0.0000,0.0000,0.0000
Test 157,0.0000,0.0000,0.0000,0.0000
Test 158,0.0000,0.0000,0.0000,0.0000
Test 159,0.0000,0.0000,0.0000,0.0000
Test 160,0.0000,0.0000,0.0000,0.0000
Test 161,0.0000,0.0000,0.0000,0.0000
Test 162,0.0000,0.0000,0.0000,0.0000
Test 163,0.0000,0.0000,0.0000,0.0000
Test 164,0.0000,0.0000,501900.0000,0.0000
Test 165,0.0033,0.0000,0.0000,0.0000
Test 166,0.0000,0.0000,0.0000,0.0000
Test 167,0.0000,0.0000,0.0000,0.0000
Test 168,0.0000,0.0000,0.0000,0.0000
Test 169,0.0000,0.0000,0.0000,0.0000
Test 170,0.0000,0.0000,0.0000,0.0000
Test 171,0.0000,0.0000,0.0000,0.0000
Test 172,0.0000,0.0000,0.0000,0.0000
Test 173,0.0000,0.0000,0.0000,0.0000
Test 174,0.0000,0.0000,0.0000,0.0000
Test 175,0.0000,0.0000,0.0000,0.0000
Test 176,0.0000,0.0000,0.0000,0.0000
Test 177,0.0000,0.0000,506200.0000,0.0000
Test 178,0.0000,0.0000,0.0000,0.0000
Test 179,0.0000,0.0000,0.0000,0.0000
Test 180,0.0000,0.0000,0.0000,0.0000
Test 181,0.0000,0.0000,0.0000,0.0000
Test 182,0.0000,0.0000,0.0000,0.0000
Test 183,0.0000,0.0000,0.0000,0.0000
Test 184,0.0000,0.0000,0.0000,0.0000
Test 185,0.0000,0.0000,0.0000,0.0000
Test 186,0.0000,0.0000,0.0000,0.0000
Test 187,0.0000,0.0000,0.0000,0.0000
Test 188,0.0000,0.0000,0.0000,0.0000
Test 189,0.0000,0.0000,507800.0000,0.0000
Test 190,0.0000,0.0000,0.0000,0.0000
Test 191,0.0000,0.0000,0.0000,0.0000
Test 192,0.0000,0.0000,0.0000,0.0000
Test 193,0.0000,0.0000,0.0000,0.0000
Test 194,0.5093,0.0000,0.0000,0.0000
Test 195,0.0000,0.0000,0.0000,0.0000
Test 196,0.0000,0.0000,0.0000,0.0000
Test 197,0.0000,0.0000,0.0000,0.0000
